month,m2,unit,source,time_scraped
Tháng 1/2019,9488086,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2018,9121583,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2018,9061689,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2018,8999033,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2018,8933435,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2018,8888384,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2018,8842552,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2018,8879582,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2018,8757588,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2018,8661255,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2018,8521098,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2018,8401534,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2018,8296475,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2017,8192548,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2017,8062576,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
