time,open,high,low,close,volume,symbol,name,country
2025-09-16,44751.84,45033.34,44612.07,44790.38,1046270200,N225,Nikkei 225,JP
2025-09-17,44910.5,45508.67,44815.4,45303.43,1136542900,N225,Nikkei 225,JP
2025-09-18,45634.29,45852.75,44495.46,45045.81,2086434200,N225,Nikkei 225,JP
2025-09-21,45193.77,45757.74,45193.77,45493.66,1166273100,N225,Nikkei 225,JP
2025-09-23,45484.41,45693.28,45205.47,45630.31,1317179000,N225,Nikkei 225,JP
2025-09-24,45600.07,45824.69,45503.31,45754.93,1272207500,N225,Nikkei 225,JP
2025-09-25,45634.2,45766.77,45354.99,45354.99,1475196800,N225,Nikkei 225,JP
2025-09-28,45113.29,45152.7,44890.2,45043.75,1305243700,N225,Nikkei 225,JP
2025-09-29,45054.96,45126.23,44733.6,44932.63,1605624300,N225,Nikkei 225,JP
2025-09-30,44831.95,44874.42,44357.65,44550.85,1366760500,N225,Nikkei 225,JP
2025-10-01,44736.03,45125.96,44659.22,44936.73,1310526900,N225,Nikkei 225,JP
2025-10-02,45042.54,45778.66,45042.54,45769.5,1175594300,N225,Nikkei 225,JP
2025-10-05,46636.07,48150.04,46592.99,47944.76,1782693200,N225,Nikkei 225,JP
2025-10-06,48281.12,48527.33,47904.38,47950.88,1541817600,N225,Nikkei 225,JP
2025-10-07,47925.22,48181.12,47728.27,47734.99,1422078600,N225,Nikkei 225,JP
2025-10-08,48035.42,48597.08,47995.22,48580.44,1384533800,N225,Nikkei 225,JP
2025-10-09,48510.72,48510.72,47962.61,48088.8,1506672100,N225,Nikkei 225,JP
2025-10-13,47446.73,47865.65,46544.05,46847.32,1702756000,N225,Nikkei 225,JP
2025-10-14,47002.3,47774.83,46910.83,47672.67,1183553100,N225,Nikkei 225,JP
2025-10-15,48107.44,48317.34,47937.72,48277.74,1210840500,N225,Nikkei 225,JP
2025-10-16,47820.97,48140.9,47494.31,47582.15,1248000300,N225,Nikkei 225,JP
2025-10-19,48332.71,49185.5,48254.83,49185.5,1210284600,N225,Nikkei 225,JP
2025-10-20,49675.43,49945.95,49127.2,49316.06,1245042100,N225,Nikkei 225,JP
2025-10-21,49252.03,49458.28,48613.7,49307.79,1410923700,N225,Nikkei 225,JP
2025-10-22,48866.58,48866.58,48399.05,48641.61,1076014600,N225,Nikkei 225,JP
2025-10-23,49095.27,49435.31,48965.78,49299.65,1091356300,N225,Nikkei 225,JP
